City,Lat,Lon
Sooke,48.38,-123.73
Sechelt,49.47,-123.77
Drayton valley,53.22,-114.98
Brooklin,43.95,-78.96
Farnham,45.28,-72.97
Dunnville,42.91,-79.62
Bonnyville,54.27,-110.75
Iqaluit,63.74,-68.55
Gravenhurst,44.92,-79.37
Port dover,42.78,-80.2
Louiseville,46.25,-72.93
Port-cartier,50.04,-66.86
Grand falls,47.05,-67.73
Sainte-agathe-des-monts,46.03,-74.28
Vegreville,53.5,-112.05
Duck lake,49.23,-116.63
Marieville,45.43,-73.17
Sainte-anne-des-monts,49.12,-66.48
Gananoque,44.33,-76.17
Smithers,54.77,-127.17
